j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,label
0,0,3.973,0,1.816,0,0,0,1.14,0,0,3.0163,0,0,1.202,0,1
0,0,4.691,0.053,4.241,0,0,0,1.153,0,0,3.9139,0,0,1.066,-2.845,1
0,0,5.145,-0.025,2.608,0,0,0,1.139,1,0,4.4958,0,0,1.22,0.113,0
1,0,5.385,-0.002,3.207,2,0,2,1.126,0,3,3.7456,0,0,1.258,0,0
3,0,5.995,0,3.355,0,0,0,1.112,3,0,3.0045,4,0,1.278,-3.753,0
2,0,4.962,-0.001,2.286,0,0,0,1.095,0,0,2.3618,0,0,1.313,0.075,0
0,0,4.334,0.149,2.952,0,0,0,1.139,0,0,3.6943,0,0,1.164,-0.241,1
1,0,4.842,0.004,2.611,0,0,0,1.121,0,0,2.9844,0,0,1.238,-0.87,1
2,0,5.516,0,2.681,4,0,2,1.118,0,4,2.7057,0,0,1.29,0,0
2,0,4.923,-0.007,2.178,0,0,0,1.107,0,1,2.4754,0,0,1.271,0,0
0,1,4.562,-0.207,2.278,0,0,0,1.077,0,0,3.2789,0,0,1.641,0,0
1,0,4.414,-0.082,2.738,2,0,0,1.128,0,0,2.8449,0,0,1.254,0.041,1
1,0,4.912,-0.023,1.889,0,0,0,1.119,0,0,3.2478,0,0,1.32,0,0
1,0,4.77,0.014,2.8,0,0,0,1.116,0,0,3.0868,0,0,1.248,-0.875,1
0,1,3.618,0.319,2,0,0,0,1.122,0,0,2.2995,0,0,1.43,0,0
0,0,3.932,-0.008,2.417,0,0,0,1.152,0,0,3.2512,0,0,1.092,0,1
1,1,4.517,-0.024,2.046,0,0,0,1.094,0,0,2.8827,0,0,1.389,0,0
0,0,4,-0.552,2.833,0,0,0,1.156,0,0,2.5101,0,0,1.118,0,1
1,0,4.77,0.015,3.2,0,0,0,1.117,0,1,3.1445,0,0,1.207,-0.986,1
0,0,4.629,0.143,2.81,1,0,0,1.148,0,0,3.9373,0,0,1.211,-0.056,0
1,0,4.679,0.012,1.967,2,0,4,1.154,0,0,2.2806,2,0,1.159,0,0
0,0,4.947,-0.03,4.4,0,0,0,1.156,0,0,4.4275,0,0,1.036,-3.537,1
2,0,5.697,0,2.789,2,0,6,1.128,1,0,2.6497,0,0,1.235,-1.903,0
3,0,5.325,0,3.085,2,0,2,1.095,0,4,3.1038,0,0,1.331,-1.249,0
3,0,5.177,0.001,2.504,0,0,0,1.093,0,3,3.0834,0,0,1.337,0,0
1,0,5.076,0.004,3.014,3,0,1,1.133,0,1,3.5506,0,0,1.204,0,1
0,0,4.562,-0.265,4,0,0,0,1.156,0,0,3.6148,0,0,1.066,-1.185,1
1,0,4.607,-0.025,2.315,2,0,1,1.132,0,2,3.1199,0,0,1.227,0,1
1,0,4,0.112,1.667,0,0,0,1.13,0,0,2.2551,0,0,1.226,0,0
1,0,4.593,0.015,2.683,2,0,3,1.136,0,1,2.9033,0,0,1.231,-0.536,0
