f,g,h,I,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x
0,0,1,0,0,0,0,1.145,2,7.749,1,2,2,2.9244,1.618,0,0,1.194,1
0,0,1,0,0,0,0,1.156,1,7.178,0,0,0,3.2163,4.167,0,0,1.076,1
0,4,1,0,0,4,0,1.098,1,9.741,0,0,0,2.7059,2.586,5,1,1.34,0
0,0,1,0,0,0,0,1.149,1,8.039,0,0,0,3.2439,4.056,1,0,1.11,1
0,0,0,0,0,0,0,1.109,0,8.467,0,0,0,2.1658,1.917,0,0,1.396,0
0,3,1,0,0,0,0,1.141,3,7.729,0,0,0,2.4699,1.985,0,0,1.202,0
0,0,0,0,0,0,0,1.138,0,7.439,0,0,0,2,1.5,0,0,1.205,0
0,1,1,0,0,0,0,1.146,2,7.229,0,0,0,2.7848,2.093,0,0,1.168,1
0,4,2,0,0,0,0,1.134,2,8.176,0,0,0,1.9915,2.083,0,0,1.18,0
0,1,2,0,0,0,0,1.141,1,8.382,1,1,1,3.0679,1.903,0,0,1.209,1
0,0,0,0,0,0,0,1.146,2,7.097,0,0,0,2.9193,3.167,0,0,1.195,1
0,9,3,0,0,0,0,1.143,1,8.579,0,0,0,2.0833,2.458,0,0,1.142,1
0,0,2,0,0,3,0,1.117,0,8.863,1,2,2,3.3506,2.58,2,1,1.332,0
0,0,1,0,0,0,0,1.149,0,7.521,0,0,0,3.6206,4.733,0,0,1.095,1
0,4,2,0,0,0,0,1.142,2,8.904,2,2,4,3.3381,1.841,0,0,1.198,0
0,8,0,0,0,0,0,1.136,5,9.633,2,6,5,3.4786,2.227,0,0,1.263,0
0,4,1,0,0,4,0,1.13,7,8.65,0,0,0,3.563,2.039,0,0,1.253,0
0,0,0,0,0,0,0,1.141,2,7.896,0,0,0,2.8897,1.55,0,0,1.209,1
0,4,2,0,0,2,0,1.119,0,8.003,0,0,0,3.2113,2.917,0,0,1.209,1
0,0,1,0,0,0,0,1.142,1,8.593,0,0,0,3.7287,4.037,2,0,1.19,1
0,0,0,0,0,0,0,1.135,2,8.859,0,0,0,3.5426,3.117,3,0,1.366,0
0,1,0,0,0,0,0,1.125,0,7.829,0,0,0,2.9426,3.056,0,0,1.208,1
0,0,0,0,0,0,0,1.213,2,9.233,0,0,0,4.7601,4.368,6,0,1.216,0
0,2,1,0,0,6,0,1.09,0,9.557,0,0,0,3.9253,3.046,5,1,1.352,0
0,4,0,0,0,0,0,1.132,0,8.16,0,0,0,1.7046,1.833,0,0,1.147,0
0,0,0,0,0,0,0,1.14,1,8.146,1,1,1,2.9106,1.8,0,0,1.228,1
0,32,0,0,0,0,0,1.14,8,9.275,0,0,0,6.9923,2.25,0,0,1.18,0
0,16,0,0,0,4,0,1.093,0,9.007,0,0,0,2.4524,3.271,0,0,1.225,1
0,9,2,0,0,4,0,1.104,0,8.803,0,0,0,2.4738,2.708,0,0,1.267,0
0,2,0,0,0,2,0,1.1,0,8.565,0,0,0,3.2512,2.716,1,1,1.321,0
0,14,0,0,0,2,0,1.129,4,8.789,0,0,0,3.092,2.467,0,0,1.215,1
0,9,1,0,0,2,0,1.127,2,8.502,0,0,0,2.7402,2.522,0,0,1.223,1
0,0,2,0,0,0,0,1.171,1,6.918,2,0,2,2.904,2.167,0,0,1.143,0
0,6,0,0,0,3,0,1.123,0,8.369,0,0,0,3.4023,2.583,0,0,1.219,1
0,0,2,0,0,2,0,1.109,0,8.71,2,4,4,2.6956,2.167,0,0,1.351,0
0,4,0,1,0,3,0,1.117,0,9.12,1,2,2,3.701,3.202,2,1,1.297,0
0,0,0,0,0,2,0,1.113,1,8.107,0,0,0,3.0766,1.983,0,0,1.31,0
0,2,1,0,0,2,0,1.108,0,8.476,0,0,0,3.3162,2.681,1,1,1.296,0
0,4,1,0,0,0,0,1.146,2,7.595,0,0,0,3.646,2.875,0,0,1.14,1
1,4,2,0,1,8,0,1.094,2,12.971,0,0,0,2.6742,2.361,4,0,1.4,0
0,12,0,0,0,2,0,1.108,0,9.265,2,6,6,1.7705,2.5,0,0,1.269,0
0,0,0,0,0,0,0,1.139,0,7.145,0,0,0,2.956,4.5,0,0,1.171,1
0,4,0,1,0,2,0,1.121,0,8.825,1,2,2,3.5714,3.144,1,1,1.273,0
0,1,2,0,0,0,0,1.154,0,7.404,1,1,1,3.4143,3.533,0,0,1.174,1
0,8,1,0,0,4,1,1.122,1,9.947,2,5,8,2.8307,3.086,2,1,1.274,0
0,14,2,0,0,14,2,1.124,2,10.274,6,20,18,1.6237,2.595,4,1,1.265,0
