a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p
0,0,1,0,0,1.9184,0,3.572,0,0.918,0,6.594,3,1,1.333,0
0,0,0,5,0,2.6213,0,3.753,0,0.875,0,10.66,5.22,0,1.341,0
2,1,2,0,0,2.3761,1,2.532,0,1.585,0,8.16,3.732,0,2.488,1
2,2,0,2,1,3.2067,2,3.202,0,0.875,0,9.54,4.596,0,1.069,0
1,3,1,3,0,3.552,2,3.375,1,1.16,0,10.099,4.958,0,1.602,0
0,0,1,0,0,2.4884,0,2.57,0,1.585,0,8.16,3.732,0,2.488,1
1,0,1,3,1,3.0549,0,3.613,0,1.662,0,10.15,4.856,0,2.83,0
1,0,1,3,1,3.3157,0,3.297,0,0.881,0,9.833,4.807,0,1.06,0
0,1,1,0,0,3.1806,3,2.868,0,0.802,0,9.183,4.414,0,0.975,0
1,4,0,3,1,3.0922,3,3.83,0,1.831,0,10.363,4.869,0,3.18,0
0,2,0,2,1,3.2813,1,3.333,0,1.187,0,9.668,4.783,0,1.358,0
0,0,2,0,0,3.4137,0,2.847,0,1.379,0,9.222,4.414,0,2.133,1
3,1,0,1,0,2.6454,2,3.394,0,1.695,0,9.972,4.739,0,2.815,1
1,0,1,0,0,2.3717,0,2.789,0,1.203,0,9.209,4.414,0,1.496,1
1,2,0,2,0,3.2197,2,3.399,0,1.258,0,10.136,4.882,0,2.011,0
1,0,4,0,0,4.3575,0,3.851,0,2.646,0,10.565,5.218,0,4.797,0
2,0,2,0,0,2.9558,0,2.608,0,1.459,0,8.815,4.303,0,1.745,1
0,0,4,0,0,3.7942,0,4.14,0,3.427,0,10.56,4.527,0,9.594,1
0,0,2,0,0,4.2802,0,3.192,0,1.922,0,9.565,4.706,0,2.691,1
0,2,1,0,0,3.1554,2,2.868,0,0.802,0,9.183,4.414,0,0.975,0
0,0,0,4,1,2.626,0,4.046,0,0.732,0,10.806,5.511,0,2.731,0
0,1,1,0,0,3.3847,2,3.713,0,2.9,0,10.416,5.206,0,6.77,1
0,0,1,1,0,2.898,0,3.086,0,1.409,0,9.391,4.517,0,2.036,1
0,0,0,0,0,3,0,2.72,0,0,0,8.623,4,0,0.667,1
0,0,0,5,1,3.736,0,3.915,0,0.832,0,10.265,5.119,0,0.952,0
0,0,0,2,0,2.1244,0,3.699,0,0.5,0,10.239,4.793,0,3.928,1
0,0,1,0,0,5.554,0,3.932,0,2.396,0,10.694,5.332,0,2.891,0
1,1,0,0,0,3.2788,2,2.899,0,0.802,0,9.183,4.414,0,0.975,1
0,0,0,0,0,1.8586,4,3.676,0,0,0,10.013,4.599,0,3.499,0
3,1,0,2,0,2.7944,0,3.729,0,2.297,0,10.299,4.843,0,4.371,0
3,2,2,0,0,4.0038,4,3.126,0,1.5,0,9.309,4.343,0,2.682,0
1,0,0,2,1,3.3162,0,3.214,0,0.875,0,9.579,4.732,0,0.854,0
0,0,3,0,0,3.8301,0,3.418,0,2.468,0,9.786,4.525,0,3.889,1
1,2,0,0,0,2.2073,2,3.426,0,0.544,0,9.692,4.382,0,1.489,0
0,0,1,0,0,2.125,0,2.843,0,1.125,0,9.311,4.499,0,1.481,0
1,0,1,1,0,2.7124,0,3.203,0,1.661,0,9.466,4.521,0,2.593,1
0,0,4,0,0,4.4958,0,3.159,0,1.371,0,10.236,5.145,0,2.499,0
0,0,0,2,0,2.3618,0,3.579,0,0.544,0,10.193,4.962,0,2.627,0
2,0,0,2,0,3.1241,0,3.451,0,1.258,0,10.136,4.842,0,2.113,1
0,0,2,0,0,4.2718,0,3.317,0,0.863,0,10.026,5.262,0,1.435,0
1,0,2,3,0,2.4441,0,3.674,0,0.703,0,10.717,5.51,0,2.589,0
0,1,0,1,0,2.7667,1,3.137,0,1.409,0,9.391,4.517,0,2.036,1
0,0,2,0,0,4.0241,0,3.082,0,1.837,0,9.454,4.523,0,2.57,1
1,0,2,0,0,2.7989,0,3.364,0,2.807,0,9.296,3.95,0,5.698,1
0,0,0,4,0,2.4237,0,4.426,0,0.673,0,10.289,4.88,1,2.38,0
0,0,2,0,0,2.852,0,4.075,0,3.146,0,9.522,3.966,1,6.909,1
0,12,0,0,0,5.159,0,3.361,0,1.241,0,10.509,5.602,0,1.357,0
0,0,0,0,0,5.0351,0,3.47,0,0.863,0,10.026,5.262,0,1.435,0
3,0,1,0,0,3.1898,1,2.533,0,0.971,0,8.597,4.17,0,1.542,1
0,0,0,0,0,3.2048,0,2.816,0,0,0,8.412,3.618,0,0.579,0
1,4,0,0,0,2.9588,4,3.091,0,2.281,0,8.743,3.879,0,3.685,0
2,4,0,5,0,2.0631,3,3.945,0,0.548,0,10.725,5.092,0,3.461,0
0,0,1,3,1,3.1934,0,3.642,0,1.185,0,9.902,4.825,0,1.476,0
6,0,6,0,0,4.7687,0,3.66,0,2.027,0,10.771,5.333,0,3.918,0
0,0,3,0,0,3.9147,0,4.566,0,3.777,0,10.56,4.5,0,7.395,0
1,2,0,6,1,3.1038,2,4.049,0,0.789,0,10.761,5.325,0,1.13,0
2,0,0,0,0,2.9195,2,2.915,0,0.917,0,9.459,4.414,0,1.101,1
0,6,5,0,0,3.4786,5,3.963,0,1.958,0,10.77,5.29,0,3.196,0
4,0,0,6,0,2.5397,0,3.844,0,0.745,0,10.717,5.161,0,2.924,0
0,0,0,0,0,1.4085,0,3.474,0,0,0,9.8,4.243,0,5.475,0
3,6,8,6,0,2.4858,6,4.672,0,1.621,0,11.98,5.979,0,7.425,0
4,2,2,0,0,2.5749,2,2.824,0,2,0,8.584,3.848,0,3.284,1
2,2,0,2,0,3.1199,2,3.105,0,1.187,0,9.631,4.607,0,1.544,1
2,1,0,0,0,3.3902,4,3.459,0,1.258,0,10.136,4.882,0,2.011,1
4,3,0,0,0,4.0251,0,2.752,0,1.459,0,8.755,4.214,0,2.052,0
0,0,1,0,0,2.409,0,3.204,0,2.182,0,9.765,4.655,0,2.989,1
0,0,0,0,1,1.8789,0,4.308,0,0.749,0,11.637,5.998,0,1.117,0
0,4,0,4,0,1.7012,4,4.212,0,0,0,10.767,4.802,0,4.164,0
0,0,2,2,0,2.3744,0,4.151,0,1.773,0,10.862,5.312,0,3.749,0
2,2,2,3,0,3.2078,2,3.087,0,0.881,0,9.803,4.732,0,0.95,0
1,0,2,0,0,3.1387,0,2.746,0,1.557,0,8.944,4.334,0,2.195,1
6,0,2,0,0,4.2631,0,3.342,0,1.792,0,10.074,4.983,0,2.666,1
1,0,3,0,0,3.6943,0,2.62,0,0.918,0,9.771,5.086,0,1.372,0
2,0,0,0,0,3.9399,0,3.047,0,1.5,0,9.309,4.343,0,2.682,1
0,4,0,0,0,3.1749,3,3.059,0,1.125,0,9.311,4.499,0,1.481,0
0,0,2,2,0,2.8711,0,3.157,0,1.261,0,9.715,4.679,0,1.695,0
2,0,1,0,0,3.078,1,2.306,0,0.811,0,8.318,4,0,1,1
1,0,2,0,0,2.9854,0,3.751,0,3.122,0,10.004,4.236,0,8.008,1
2,2,1,2,0,3.1276,2,2.984,0,0.875,0,9.54,4.596,0,1.069,0
1,0,0,4,1,3.567,0,3.66,0,0.861,0,10.06,4.97,0,0.962,1
0,0,1,0,0,2.4843,0,3.606,0,2.125,0,10.295,4.928,0,3.3,1
0,10,4,0,0,4.9627,10,3.388,0,1.792,0,10.573,5.248,0,3.06,0
0,0,0,2,0,2.1615,0,3.478,0,0,0,9.971,4.675,0,2.829,0
2,3,0,0,0,3.201,4,2.883,0,0.802,0,9.183,4.414,0,0.975,0
2,0,2,0,0,2.2525,0,2.243,0,1,0,7.408,3.414,0,1.707,1
1,4,0,4,0,2.6947,4,3.548,0,0,1,10.384,5.014,0,1.305,0
0,0,2,0,0,3.4435,0,4.587,0,4.437,0,10.757,4.412,0,17.114,1
2,0,0,2,0,2.6483,0,3.768,0,0.922,0,10.779,5.645,0,2.163,0
1,5,1,4,1,2.8307,8,4.137,0,0.978,0,11.021,5.394,0,2.542,0
3,2,1,4,1,3.7456,2,3.745,0,1.084,0,10.644,5.385,0,1.693,0
0,0,1,0,0,2.3906,3,2.889,0,1.125,0,9.311,4.499,0,1.481,0
2,2,0,0,0,3.3609,1,2.965,0,0.862,0,9.067,4.303,0,0.956,0
2,0,2,0,0,2.8042,0,2.449,0,0.971,0,8.597,4.17,0,1.542,1
0,0,5,0,0,4.6435,0,3.329,0,1.792,0,10.281,5.103,0,3.506,0
1,2,3,0,0,3.6384,3,3.231,0,2.23,0,9.449,4.491,0,2.764,0
2,13,3,0,0,3.2718,3,3.665,0,1.621,0,10.229,4.837,0,2.315,0
0,0,0,2,0,3.2253,0,3.571,0,1.59,0,10.236,4.914,0,2.465,1
