k,l,m,n,o,p,q,r,s,t,u,v,w,x,y
4,0,10.516,0.401,2,0,0,2.298,3,0,3,2,0,0,0
0,0,10.493,-0.462,0,10.741,6,2.402,5,0,1,2,0,0,1
0,0,8.16,0,0,0,1,1.802,1,0,0,2,0,0,1
0,0,9.002,0,0,0,3,1.932,1,0,0,2,0,0,1
1,0,9.642,0.933,0,0,0,2.194,0,0,0,0,1,0,0
1,0,9.801,0,1,0,0,2.236,0,0,1,2,0,0,0
0,0,10.633,-0.209,0,11.278,3,2.314,1,0,0,6,0,0,1
0,0,7.408,0,0,0,0,1.618,0,1,0,1,0,0,1
0,0,10.545,0,0,12.646,7,2.258,0,0,0,3,0,0,0
2,0,10.26,0,1,0,2,2.301,0,0,0,2,0,0,0
0,0,10.081,0,0,0,2,2.487,0,0,0,0,0,0,0
0,0,11.637,0.642,0,0,1,2.859,0,1,0,0,0,0,0
0,0,10.249,-0.08,0,10.819,3,2.229,1,0,1,0,0,0,0
16,0,12.609,-2.385,4,56.39,12,2.467,4,0,0,24,0,0,0
4,0,10.367,0,4,0,0,2.285,2,1,2,0,0,1,0
4,0,10.384,0,0,0,0,2.469,1,0,1,0,0,0,0
0,0,9.002,0,0,0,0,1.932,0,0,0,2,0,0,1
2,0,9.54,0,2,0,0,2.175,2,1,1,0,0,0,0
3,0,10.89,0,0,0,0,2.49,0,1,0,0,0,0,0
0,0,10.771,0,0,0,7,2.303,6,0,0,6,0,0,0
2,0,10.136,-2.126,0,20.669,4,2.278,2,0,0,0,0,0,1
3,0,9.833,0,2,0,1,2.246,1,1,0,1,0,0,0
0,0,9.311,0,0,0,0,2.136,0,0,2,0,0,0,0
6,0,10.761,-1.249,4,22.671,2,2.534,1,1,1,0,0,0,0
3,0,10.995,0,1,0,1,2.436,1,0,0,6,0,0,0
2,0,9.54,0,2,0,1,2.175,1,0,0,0,1,0,0
3,0,9.803,0,1,0,0,2.236,2,0,1,2,0,0,0
0,0,8.318,0,0,0,1,1.732,1,0,0,2,0,0,1
3,0,9.833,0,1,0,1,2.246,1,0,0,2,0,0,0
3,0,9.902,0,2,0,1,2.267,1,0,0,1,0,0,0
2,0,9.668,0,2,0,2,2.222,1,0,0,0,0,0,1
0,0,9.786,-0.039,0,11.115,2,2.119,0,0,0,3,0,0,1
0,0,9.872,0,0,19.811,3,2.112,2,0,1,0,0,0,1
0,0,7.408,0,0,0,2,1.618,2,0,0,2,0,0,1
4,0,10.465,0,2,0,0,2.359,1,0,1,0,0,0,0
8,0,11.349,0,6,0,2,2.484,0,0,0,4,1,0,0
0,0,9.053,-0.065,0,9.677,2,2.136,0,0,0,0,0,0,1
0,0,9.874,0,0,0,0,2.136,0,1,0,2,0,0,0
0,0,8.597,0,0,0,1,1.848,1,0,0,2,0,0,1
1,0,9.989,-0.396,1,21.674,2,2.202,1,0,1,1,0,0,1
6,0,10.434,0,6,0,1,2.414,1,1,0,0,0,0,0
